v2ProductName,canonical_category,row_count
Google Women's Quilted Insulated Vest Black,Home/Apparel/Women's/Women's-Outerwear/,1034
Google Women's Quilted Insulated Vest Pewter,Home/Apparel/Women's/Women's-Outerwear/,149
Google Women's Quilted Insulated Vest White,Home/Apparel/Women's/Women's-Outerwear/,691
Google Women's Recycled Fabric Tee,Home/Apparel/Women's/Women's-T-Shirts/,391
Google Women's Scoop Neck Tee Black,Apparel,758
Google Women's Scoop Neck Tee Green,Home/Apparel/Women's/Women's-T-Shirts/,203
Google Women's Scoop Neck Tee White,Apparel,451
Google Women's Shell Jacket Blue/Black,Home/Apparel/Women's/Women's-Outerwear/,395
Google Women's Short Sleeve Badge Tee Grey,Apparel,193
Google Women's Short Sleeve Badge Tee Ice Gray,Home/Apparel/Women's/Women's-T-Shirts/,3
Google Women's Short Sleeve Badge Tee Navy,Apparel,447
Google Women's Short Sleeve Badge Tee Red Heather,Home/Apparel/Women's/Women's-T-Shirts/,236
Google Women's Short Sleeve Hero Dark Grey,Home/Apparel/Women's/Women's-T-Shirts/,575
Google Women's Short Sleeve Hero Tee Black,Home/Apparel/Women's/Women's-T-Shirts/,2068
Google Women's Short Sleeve Hero Tee Grey,Apparel,515
Google Women's Short Sleeve Hero Tee Heather,Apparel,313
Google Women's Short Sleeve Hero Tee Red Heather,Home/Apparel/Women's/Women's-T-Shirts/,1640
Google Women's Short Sleeve Hero Tee Sky Blue,Home/Apparel/Women's/Women's-T-Shirts/,1289
Google Women's Short Sleeve Hero Tee White,Home/Apparel/Women's/Women's-T-Shirts/,4666
Google Women's Short Sleeve Hero V-Neck Tee Black,Home/Apparel/Women's/Women's-T-Shirts/,413
Google Women's Short Sleeve Performance Tee Black,Home/Apparel/Women's/Women's-Performance Wear/,159
Google Women's Short Sleeve Performance Tee Charcoal,Home/Apparel/Women's/Women's-Performance Wear/,224
Google Women's Short Sleeve Performance Tee Navy,Apparel,258
Google Women's Short Sleeve Performance Tee Pewter,Home/Apparel/Women's/Women's-Performance Wear/,122
Google Women's Short Sleeve Shirt Blue,Home/Apparel/Women's/Women's-T-Shirts/,404
Google Women's Short Sleeve Shirt Dark Grey,Home/Apparel/Women's/Women's-T-Shirts/,255
Google Women's Short Sleeve Shirt Light Grey,(not set),53
Google Women's Short Sleeve Shirt Red,Home/Apparel/Women's/Women's-T-Shirts/,269
Google Women's Short Sleeve V-Neck Tee Black,Home/Apparel/Women's/Women's-T-Shirts/,477
Google Women's Short Sleeve V-Neck Tee Dark Grey,Home/Apparel/Women's/Women's-T-Shirts/,154
Google Women's Short Sleeve V-Neck Tee Lavender,Home/Apparel/Women's/Women's-T-Shirts/,511
Google Women's Short Sleeve V-Neck Tee Stone,Home/Apparel/Women's/Women's-T-Shirts/,123
Google Women's Softshell Jacket Black/Grey,Apparel,41
Google Women's Tank Top,Home/Apparel/Women's/Women's-T-Shirts/,98
Google Women's Tank Top Light Gray,Home/Apparel/Women's/Women's-T-Shirts/,3
Google Women's Tee Grey,Apparel,429
Google Women's Tee Purple,Home/Apparel/Women's/Women's-T-Shirts/,194
Google Women's V-Neck Tee Charcoal,Home/Apparel/Women's/Women's-T-Shirts/,502
Google Women's V-Neck Tee Grey,Home/Apparel/Women's/Women's-T-Shirts/,516
Google Women's Vintage Hero Tee Black,Apparel,1244
Google Women's Vintage Hero Tee Lavender,Apparel,923
Google Women's Vintage Hero Tee Platinum,Apparel,239
Google Women's Vintage Hero Tee White,Home/Apparel/Women's/Women's-T-Shirts/,1472
Google Women's Vintage T-Shirt Black,Home/Apparel/Women's/Women's-T-Shirts/,336
Google Women's Weatherblock Shell Jacket Black,Home/Apparel/Women's/Women's-Outerwear/,225
Google Women's Yoga Jacket Black,Home/Apparel/Women's/Women's-Outerwear/,891
Google Women's Yoga Pants,Home/Apparel/Women's/Women's-Performance Wear/,847
Google Women's Zip Hoodie Grey,Home/Apparel/Women's/Women's-Outerwear/,209
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,Apparel,777
Google Wool Heather Cap Heather/Navy,Home/Apparel/Headgear/,1547
Google Youth Baseball Raglan Heather/Black,Home/Apparel/Kid's/Kids-Youth/,1150
Google Youth Girl Hoodie,Home/Apparel/Kid's/Kids-Youth/,1475
Google Youth Girl Tee Green,Home/Apparel/Kid's/Kids-Youth/,548
Google Youth Short Sleeve T-shirt Green,Home/Apparel/Kid's/Kids-Youth/,643
Google Youth Short Sleeve T-shirt Royal Blue,Home/Apparel/Kid's/Kids-Youth/,1004
Google Youth Short Sleeve T-shirt Yellow,Home/Apparel/Kid's/Kids-Youth/,452
